"","CN1_15_6","CN2_2","CN3_10","CN4_8","CN5_4_5","CN6_14","CN7_6","CN8_13","CN9_5","CN10_3","CN11_2_8","CN12_2_17","CN13_8","CN14_17","CN15_12","CN16_16_8","CN18_16","CN19_3","CN21_16","CN22_1","CN24_15","CN25_10","CN26_15_8","CN27_2","CN28_7","CN29_4","CN30_8_1","CN31_3","CN32_6","CN33_15_5","CN34_11","CN35_9","CN36_14","CN37_13","CN38_15_16","tsne_1","tsne_2","PhenoGraph"
"mADT-1.tsv",0.0568886354406026,-0.348761317741857,-0.0475917705778361,-0.553599035757197,1.59617778483034,1.91926313243128,-0.232171319539689,6.55090614511429,-0.201656887898057,-0.339306257128759,-0.34627687530754,-0.284776581667801,-0.417961773061427,-0.11442113222609,-0.109708076555884,-0.544748726799236,-0.128705256587394,-0.134169206272818,-0.504428979732113,-0.406392221356334,-0.394782919522322,-0.276053005179365,0.542755040055441,-0.482684186912065,-0.384877051521884,-0.042803557744011,-0.441457411166198,0.548833311755267,-0.125872569201062,-0.451111061887617,-0.239271841783084,-0.447234940410092,-0.129998731611352,4.63244493326804,-0.108694871764019,-0.826243865612478,-18.3021861109394,"SP_1"
"mADT-10.tsv",-0.286526760950919,-0.348761317741857,0.571885151337269,-0.579778259696162,1.75327696243079,-0.50333487555413,-0.270305563919609,-0.22675253371779,-0.203522438469308,0.00261902916888202,-0.349238358486674,-0.290691907764578,-0.716861320951607,-0.11442113222609,-0.109708076555884,-0.71888555537815,-0.128705256587394,0.18244732014799,-0.371460989926939,-0.479058014130464,6.45780948413499,0.699999471462727,0.321636822408978,-0.477712735493708,-0.651812726586103,1.09285049679545,-0.493335727555863,2.40568811005484,-0.305456913330595,2.17058900310256,-0.239271841783084,-0.485668986017393,-0.308622948116175,-0.267117428644173,0.0976214881929819,14.0195286456025,5.18549511611975,"SP_2"
"mADT-11.tsv",0.83023890799725,-0.348761317741857,0.947109221460113,-0.439673192004103,2.67719212534089,-0.50333487555413,-0.248442262768596,-0.22675253371779,-0.144332917296066,-0.22672555772768,-0.349238358486674,-0.551355888280644,-0.690518604473706,-0.11442113222609,-0.109708076555884,-0.684354611601259,-0.128705256587394,1.37753649479345,-0.521140793659491,-0.479058014130464,0.61279248651646,0.115017314557259,3.23367732988916,-0.485038969678416,-0.655291915910156,0.472902725461773,-0.493335727555863,5.7043869803609,-0.189094170802252,0.727095812319509,-0.239271841783084,-0.485668986017393,-0.308622948116175,-0.267117428644173,-0.314217137209837,16.5776087868995,-4.21802999716712,"SP_2"
"mADT-12.tsv",1.50476088824639,-0.348761317741857,1.48806926654186,-0.506738676470057,1.95801493675094,-0.430400780737142,-0.263744285471999,-0.22675253371779,0.226058719155323,-0.303333145178486,-0.349238358486674,-0.551355888280644,-0.289359883135401,-0.11442113222609,-0.109708076555884,-0.696184828042193,-0.128705256587394,0.286442894155945,-0.521140793659491,-0.479058014130464,0.0507692942804453,0.208859026179192,2.65598961297324,-0.485038969678416,0.7880031875668,0.0613275848375356,-0.274517308366237,1.89915527027462,0.144628228432065,0.327491340707577,-0.239271841783084,-0.485668986017393,-0.308622948116175,-0.267117428644173,-0.351651780278727,15.3511304789173,-4.43387775194824,"SP_2"
"mADT-13.tsv",-0.331813824183304,-0.348761317741857,0.319762433162514,0.0928642001994502,-0.194611745680181,-0.50333487555413,-0.271236916015465,-0.22675253371779,-0.161488965603673,2.50572437336845,-0.349238358486674,-0.551355888280644,-0.30082262746945,-0.11442113222609,-0.109708076555884,0.623206169866304,-0.127663065130686,1.67608668461668,-0.313904675964139,-0.34077572483644,0.334817399342615,0.00706539701826208,2.40696924168651,-0.485038969678416,1.72557231628398,0.72476353003437,-0.342397813889835,1.17245287866653,-0.30481546178702,0.277152534528869,-0.239271841783084,0.602648425028203,-0.308622948116175,-0.267117428644173,1.17855725278424,13.9635909870314,-2.3936345990752,"SP_2"
"mADT-14.tsv",-0.263948852567606,0.108425217437003,0.539256050280615,-0.520310323150578,-0.517134528779233,0.885447900946091,-0.264632942515367,-0.22675253371779,-0.200356627002005,-0.29896367961611,0.00702032692627033,2.68855449016169,-0.209633250662539,-0.11442113222609,-0.109708076555884,0.626289657661174,-0.12192859509266,-0.257177201199152,0.166367054398541,-0.471350966289263,-0.031865455077601,-0.14109894360955,0.205651355291829,1.34847334514042,0.156178717421821,-0.475813486804208,-0.38247466218145,-0.203820391903293,-0.275695178407304,-0.0325093177002009,-0.239271841783084,-0.401423900634418,-0.115589632389065,-0.267117428644173,0.564648655639644,0.159313720200312,8.68998763204604,"SP_3"
"mADT-15.tsv",-0.340829366341365,-0.348761317741857,-0.691713941309021,-0.379150911374401,-0.587640446485735,-0.50333487555413,-0.264582163389141,-0.22675253371779,-0.203522438469308,-0.293389840399225,-0.349238358486674,-0.551355888280644,-0.548296212149046,-0.11442113222609,-0.109708076555884,-0.119780940168619,-0.128705256587394,-0.29848773240115,-0.324931574027798,3.75133046450031,-0.417917840766927,-0.163272401705038,-0.556408980443361,-0.485038969678416,0.240749092424639,-0.477855747025542,-0.454435492406429,-0.591740280231101,-0.283477282332501,-0.520849417959752,-0.239271841783084,-0.485668986017393,-0.308622948116175,-0.267117428644173,-0.529954424628056,1.78896628157282,-1.39769472179114,"SP_4"
"mADT-16.tsv",2.03247975834299,-0.348761317741857,1.41977276839444,-0.576373546176071,1.28484338724252,-0.50333487555413,-0.161384337349216,-0.22675253371779,-0.203522438469308,0.592064807483906,-0.349238358486674,-0.551355888280644,-0.658682700362772,-0.11442113222609,-0.109708076555884,-0.300383054998903,-0.124559778148222,0.112795159877854,-0.239622892156616,-0.479058014130464,1.9792131112283,0.0774772345651859,-0.237547803858223,-0.485038969678416,1.2225510346422,2.3424598266272,-0.465411122807881,1.29826387265378,0.678906859681792,0.311578215274924,-0.239271841783084,-0.430393394492308,-0.308622948116175,-0.267117428644173,0.452354784193037,13.6730575039127,1.34158894669186,"SP_2"
"mADT-17.tsv",0.998585256368,-0.348761317741857,1.10646626200295,-0.505621924574375,0.499287719843184,0.917487441763731,-0.270832895272286,-0.22675253371779,-0.18170122817338,-0.350076815130727,-0.316374526954168,-0.185857409599981,-0.67844147013628,-0.11442113222609,-0.109708076555884,-0.498551502919691,-0.128705256587394,-0.255776133900791,-0.116517320678138,-0.479058014130464,1.51667413244872,-0.082829266411212,2.19616848302334,-0.416179659808162,-0.68419878672371,0.363505552449471,-0.493335727555863,9.06429448612707e-05,-0.293178017112059,1.92860676701754,-0.239271841783084,-0.135530709990488,-0.0759393748833353,-0.267117428644173,2.42072696606118,11.8115659876035,-0.974309623476746,"SP_2"
"mADT-19.tsv",-0.260001617826013,-0.348761317741857,-0.686325324015781,-0.581138266903539,-0.216657154338478,-0.50333487555413,-0.00128199386377581,-0.22675253371779,-0.203522438469308,-0.404778720610238,-0.349238358486674,-0.551355888280644,-0.716861320951607,-0.11442113222609,-0.109708076555884,-0.71888555537815,0.0879071958551015,-0.29848773240115,0.68066240999398,1.42583421428813,0.437964522271494,-0.22712013252601,-0.55694793273316,-0.485038969678416,1.42971585641317,3.21208401397562,-0.493335727555863,-0.629038279006326,-0.256759319697848,-0.461586420830759,-0.239271841783084,-0.485668986017393,-0.308622948116175,-0.0467337770912241,-0.451601171454658,1.78784640527382,-6.00136062223684,"SP_4"
"mADT-2.tsv",-0.0126543671669802,-0.348761317741857,-0.68374111007222,-0.552160041510639,0.718011343824101,-0.186431462128751,-0.144857529831158,2.31226045214036,-0.203522438469308,-0.225292854584235,-0.349238358486674,-0.551355888280644,-0.712722928810625,-0.11442113222609,-0.109708076555884,-0.601801421025125,-0.128705256587394,-0.128616562821305,-0.376253457648579,-0.479058014130464,3.61978401997704,-0.362827326308232,0.614258917254184,-0.484354307202951,0.955708926954102,0.483702202054649,-0.4614920921935,1.05044692347911,-0.00936766794783163,1.00811772939105,-0.239271841783084,-0.471700421069686,-0.0822763024511818,4.84232018668807,-0.066033495094295,0.61792994500844,-18.0016238308421,"SP_1"
"mADT-20.tsv",-0.366307866305964,-0.348761317741857,2.89638580122612,-0.518906948307778,0.275211463762575,0.34987692544245,-0.246563983341054,-0.22675253371779,-0.203522438469308,0.0896867829254858,-0.349238358486674,-0.551355888280644,-0.487273257111072,-0.11442113222609,-0.109708076555884,1.33567797459183,-0.125855599435262,-0.255927530089937,0.392067264150964,-0.463303666558184,-0.26122655213407,-0.163537630260913,0.115295335432146,-0.485038969678416,2.28511235412473,-0.410225891344034,-0.462142640904145,-0.227297187104786,-0.295354693316517,0.0789277574429984,-0.239271841783084,6.7537934672707,-0.308622948116175,-0.267117428644173,2.25166825734248,9.13986512906318,0.960578655185873,"SP_2"
"mADT-21.tsv",0.0691209471432833,-0.348761317741857,0.757229433143027,-0.577820645734702,0.845015958853022,0.930248122731668,-0.271236916015465,-0.22675253371779,-0.201949252557297,-0.282524077412284,-0.349238358486674,-0.415404426220566,-0.709359632858546,-0.11442113222609,-0.109708076555884,-0.668407064826442,0.0213901311998177,-0.23074390651625,-0.108606743827429,-0.436291228678189,0.447432215952047,0.572049643620945,-0.39895324356124,-0.485038969678416,2.55226083505492,1.28495584426219,-0.484829158440954,-0.337715168366768,-0.291188577474537,0.9270975150596,-0.239271841783084,0.132160996285818,-0.06581532818454,-0.267117428644173,0.0205622083752268,12.5847666498206,1.3782497712474,"SP_2"
"mADT-22.tsv",-0.330219519864174,-0.348761317741857,0.337427829635994,-0.581138266903539,3.05249137101454,1.20357130030156,-0.244120559579763,-0.22675253371779,-0.173049294577605,1.23878025056914,-0.349238358486674,-0.551355888280644,-0.716861320951607,-0.11442113222609,-0.109708076555884,-0.716191931529496,-0.118539527591488,0.142534150919948,0.593347230509872,-0.479058014130464,0.0215478229417522,0.259242037423946,-0.394653429317778,-0.485038969678416,-0.65793348266104,1.51834300985135,-0.493335727555863,-0.0111240092492162,-0.238905811973475,2.22439586008526,-0.239271841783084,0.222992245095962,1.18523140560646,-0.267117428644173,1.51200027392958,11.4885116280301,3.4254217019323,"SP_2"
"mADT-23.tsv",-0.0448187484380605,-0.348761317741857,1.05243408601749,0.738847935021193,0.355726888925744,-0.500925416890713,-0.270655226731364,-0.22675253371779,-0.203522438469308,-0.326021595451397,-0.349238358486674,-0.490510912931749,3.85123741949752,-0.11442113222609,-0.109708076555884,1.51579665010691,-0.128705256587394,-0.246454290037856,-0.509332204504921,-0.479058014130464,-0.296470467441186,-0.138006222105473,3.00190011301071,-0.485038969678416,1.74628501872734,-0.452132081309892,0.15631282144655,0.536176011572351,-0.29535060892513,-0.159949379764445,-0.239271841783084,-0.4389919539689,-0.308622948116175,-0.267117428644173,0.24978724372859,-3.17447023022321,7.77337014870491,"SP_5"
"mADT-24.tsv",0.148520211062294,-0.348761317741857,1.42243348324407,-0.304540219871658,0.986055623400687,2.37050333512414,-0.261545750277967,-0.22675253371779,-0.202607366686464,0.476087605565919,-0.349238358486674,-0.551355888280644,-0.402689944728426,-0.11442113222609,-0.109708076555884,1.2269956258954,-0.0246100316202655,0.00241867534215231,0.435709660491156,-0.479058014130464,-0.319280472961376,0.051067952353391,1.12023514813414,-0.485038969678416,-0.701326276885615,0.193328351539778,-0.493335727555863,0.740735273725991,0.202380879756805,-0.339776723993405,-0.239271841783084,-0.358415991405553,2.86782092776566,-0.267117428644173,0.776488566903267,6.69989019357145,7.45347011747051,"SP_2"
"mADT-25.tsv",-0.319446412636453,-0.348761317741857,-0.163125480491198,-0.576494951807793,1.56057350233706,-0.50333487555413,-0.271236916015465,-0.22675253371779,-0.203522438469308,0.737771705357004,-0.349238358486674,-0.551355888280644,-0.716861320951607,-0.11442113222609,-0.109708076555884,-0.31746920835736,0.183373246459011,-0.251080883733549,3.66037592085378,-0.276262182119223,0.80177035124607,-0.179185774019052,-0.00893492014957678,-0.485038969678416,1.73104330705893,0.0121786173182599,-0.493335727555863,0.0382217985428354,-0.30494905221044,0.562912698868379,-0.239271841783084,0.466929266706712,-0.308622948116175,-0.267117428644173,2.58930720503781,9.30834300604814,-3.06001780103451,"SP_2"
"mADT-26.tsv",0.926358500384294,-0.348761317741857,0.100586134200643,-0.45760057855809,0.0820397462044906,-0.50333487555413,-0.225411726746348,-0.22675253371779,0.598015874987661,1.00160018837857,-0.349238358486674,-0.551355888280644,-0.509505781917992,-0.11442113222609,-0.109708076555884,0.891311722326461,-0.0563614459070506,-0.285257495429579,3.34032496137991,-0.479058014130464,-0.3704791751859,-0.362827326308232,0.263923732356823,-0.485038969678416,3.07147004162578,-0.366665462055946,-0.44460378144025,0.00200757780300166,0.459819387750131,-0.203069582133449,-0.239271841783084,0.267176467444033,-0.308622948116175,-0.252558532454691,1.74590873300169,9.40970700443767,-3.3292735797806,"SP_2"
"mADT-27.tsv",-0.359997747990222,-0.348761317741857,0.202259899733612,-0.570931205608856,-0.54112660661293,1.26524449259747,-0.271236916015465,-0.22675253371779,-0.203522438469308,4.5617701130801,-0.349238358486674,-0.493171200840992,-0.576843580292895,-0.0938204661076872,-0.109708076555884,2.6813123904311,-0.102803767583421,0.712043386978652,4.08270428105195,-0.479058014130464,-0.3616920061,-0.307191136059565,0.192440353808893,-0.484020738127647,-0.538850463560648,-0.477855747025542,-0.493335727555863,-0.611147931490352,-0.27641504234652,-0.138088467866602,-0.239271841783084,1.34868234380999,-0.308622948116175,-0.246267153491923,5.79693670741656,8.32985474846864,-4.93552246082867,"SP_2"
"mADT-28.tsv",-0.11366783774907,-0.348761317741857,-0.681638051006583,-0.574013022042611,2.96178603866391,-0.50333487555413,-0.268797181983647,-0.22675253371779,-0.021071202997596,-0.399696799497683,-0.349238358486674,-0.551355888280644,-0.716861320951607,-0.11442113222609,-0.109708076555884,-0.712972146280263,-0.128705256587394,-0.195319821174875,-0.521140793659491,-0.479058014130464,4.01153378837343,-0.218133330363678,-0.311306347865034,-0.485038969678416,-0.72585653484943,2.85302645935569,-0.493335727555863,0.742515775308686,-0.27829990977875,3.68962758578387,-0.239271841783084,0.548016877906473,-0.308622948116175,-0.258384455758731,0.600548335769521,13.7450496406668,4.74082788956668,"SP_2"
"mADT-29.tsv",-0.30679152122049,-0.348761317741857,0.143915575456005,-0.561804277023063,0.889385115827693,-0.50333487555413,-0.269250887717369,-0.22675253371779,-0.203522438469308,-0.287567675531712,-0.349238358486674,-0.551355888280644,-0.663088996811859,-0.11442113222609,-0.109708076555884,-0.616593994029248,-0.128705256587394,-0.147750332828948,-0.388989357136357,1.9955783011461,0.251982017523049,-0.116888515390846,0.291984690647047,-0.485038969678416,-0.255431421745935,0.811601857404407,-0.454031065048545,0.300290553323072,-0.303906016299159,0.27869288864771,-0.239271841783084,-0.402444149407823,-0.308622948116175,-0.267117428644173,-0.0582230096933685,1.58445569022202,-4.1576273506588,"SP_4"
