Class,TumorPurityLevel,CN0_1,CN1_13-3,CN2_2,CN3_12,CN4_6,CN5_8,CN6_4,CN7_14,CN8_15-5,CN9_2,Class0
mADT-1.tsv,mADT-1.tsv,L,4.76533350788767,34.1362833016954,1.68881324867448,0.798586109838319,1.2109707403286,5.49846173987039,20.6585062512273,16.200824769261,15.0422203312169,0,mADT-1.tsv
mADT-10.tsv,mADT-10.tsv,L,0,1.82328190743338,1.30902290790089,1.91678354371202,0.0400721298337007,1.52274093368063,33.4535497228344,0,59.934548854605,0,mADT-10.tsv
mADT-11.tsv,mADT-11.tsv,L,0.204304004358485,5.50258785072187,0,0.177063470444021,0.490329610460365,10.8825932988287,33.7101607191501,0,49.0329610460365,0,mADT-11.tsv
mADT-12.tsv,mADT-12.tsv,L,2.37825594563986,2.08380520951302,0,0.113250283125708,0.532276330690827,14.5186862967157,28.3352208380521,0.249150622876557,51.7893544733862,0,mADT-12.tsv
mADT-13.tsv,mADT-16.tsv,L,2.48452331820058,1.89847296739579,0,5.77796120511762,4.30870821295914,1.98926950061907,28.3945522080066,0,55.1465125877012,0,mADT-13.tsv
mADT-14.tsv,mADT-17.tsv,L,0.0578904712284358,0.121569989579715,2.44297788583999,3.09135116359847,0.0636795183512794,6.43163135347922,13.6910964455251,10.4492300567327,63.4537455134885,0.196827602176682,mADT-14.tsv
mADT-15.tsv,mADT-2.tsv,L,4.89147530670022,22.4127083988676,0.00786410821012897,1.41553947782321,2.91758414595785,4.49826989619377,17.8122050959421,3.12991506763133,42.9144385026738,0,mADT-15.tsv
mADT-16.tsv,mADT-21.tsv,L,21.8263742865725,0.21628116551517,0.793030940222289,8.5851607089216,0.0300390507659958,0.624812255932713,21.4058275758486,11.673175127666,34.8452988885551,0,mADT-16.tsv
mADT-17.tsv,mADT-22.tsv,L,0.00637429882712902,0.854156042835288,0,10.0140234574197,0.631055583885773,0.121111677715451,37.8824579296277,18.6894441611423,31.8013768485467,0,mADT-17.tsv
mADT-19.tsv,mADT-28.tsv,L,0,0.509776536312849,0,0.377094972067039,0.111731843575419,0.153631284916201,46.3198324022346,0,52.5279329608938,0,mADT-19.tsv
mADT-2.tsv,mADT-3.tsv,L,1.11969816831984,20.0876285523033,5.95752449339743,2.93312237570742,2.22722570437534,10.7405829732855,19.3513053003104,1.18663664577375,31.6375585711678,4.75871721535934,mADT-2.tsv
mADT-20.tsv,mADT-31.tsv,L,0.0065402223675605,0.497056899934598,22.6226291693918,4.59777632439503,0.0327011118378025,1.51733158927404,38.9993459777632,11.4061478090255,16.4355788096795,3.88489208633094,mADT-20.tsv
mADT-21.tsv,mADT-32.tsv,L,1.78791169019182,1.09301483894318,1.97611292073833,2.62034020991676,1.17263843648208,17.7705392689106,1.78791169019182,0,71.7915309446254,0,mADT-21.tsv
mADT-22.tsv,mADT-35.tsv,L,10.5420003725088,28.0499161855094,1.0337120506612,1.75079158130006,18.485751536599,1.05233749301546,9.93667349599553,0.307319798845223,28.4037995902403,0.437697895325014,mADT-22.tsv
mADT-23.tsv,mADT-37.tsv,L,0.055241836484164,0.171863491284066,0,2.71298796955561,0.0613798183157378,2.18512153204027,0.767247728946722,0,94.0461576233734,0,mADT-23.tsv
mADT-24.tsv,mADT-38.tsv,L,0.443383356070941,0.798090040927695,13.6221009549795,9.90450204638472,0,1.09822646657572,39.3792633015007,2.0600272851296,21.93724420191,10.7571623465211,mADT-24.tsv
mADT-25.tsv,mADT-39.tsv,L,4.04855247285887,1.99034981905911,0.00753920386007238,0.716224366706876,0.256332931242461,0.203558504221954,40.3347406513872,2.55579010856454,49.8869119420989,0,mADT-25.tsv
mADT-26.tsv,mADT-41.tsv,L,0.111633372502938,0.0528789659224442,0,14.048178613396,0.428907168037603,6.30434782608696,0.264394829612221,18.8307873090482,59.9588719153937,0,mADT-26.tsv
mADT-27.tsv,mADT-44.tsv,L,0.18258981444927,0.246742992499013,0,0.0345440189498618,1.52980655349388,0.0838926174496644,3.22739834188709,0,94.6950256612712,0,mADT-27.tsv
mADT-28.tsv,mADT-45.tsv,L,0.166339029184939,11.3337365794647,0.0604869197036141,0.81657341599879,2.57825495236655,1.14925147436867,48.9187963102979,0,34.9765613186148,0,mADT-28.tsv
mADT-29.tsv,mADT-47.tsv,L,0,15.3344208809135,0,13.7792278412181,0.462207721587819,0.0543773790103317,18.5807504078303,0.0924415443175639,51.6965742251223,0,mADT-29.tsv
mADT-3.tsv,mADT-50.tsv,L,16.3382315467595,1.07873948866049,0,6.11993544551092,0.0127410175826043,18.1601970610719,1.14244457657352,0,57.147710863841,0,mADT-3.tsv
mADT-31.tsv,mADT-51.tsv,L,0,1.41713685867996,0,0.308358483138696,1.92888072431439,11.4748720640336,11.0549796614618,0,73.8157722083716,0,mADT-31.tsv
mADT-32.tsv,mADT-6.tsv,L,0.377833753148615,0.535264483627204,0,14.2254408060453,2.63224181360202,7.83375314861461,20.5541561712846,5.68010075566751,48.1612090680101,0,mADT-32.tsv
mADT-33.tsv,mADT-9.tsv,L,3.447457895153,6.68142642523919,0,1.55768166363564,0.664189135763422,0,19.6963706807939,0,67.9528741994149,0,mADT-33.tsv
mADT-34.tsv,N-55.tsv,L,4.92398762276335,0,6.50477599892372,5.87918740750706,0.73321673617651,17.1532355711018,0.383425265706982,0.0941746266648729,63.6956814206915,0.632315350464146,mADT-34.tsv
mADT-35.tsv,mADT-13.tsv,M,14.1458387013656,4.54350253371124,0,9.82564631108821,0.00858885167053165,22.391136305076,9.62810272266598,0,39.4571845744224,0,mADT-35.tsv
