,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16
1,0.0,1.4545454545454546,1.2782608695652173,3.391304347826087,0.8166666666666667,1.4166666666666667,0.68,0.0,0.68,0.0,0.8,1.4545454545454546,1.4166666666666667,0.0,0.0
2,0.0,1.4545454545454546,1.2782608695652173,3.391304347826087,0.8166666666666667,1.4166666666666667,0.68,0.0,0.68,0.0,0.8,1.4545454545454546,1.4166666666666667,0.0,0.0
