1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
N-7.tsv	2.14027976867184	50.1705303741782	1.1319262517918	1.19618407394592	2.99540309426128	1.8091048391083	0	26.7856260194751	1.606445553853	4.40907518165192	0.0593149127576492	0	0	1.01329642627651	0.563491671197667	4.53759082596016	1.58173100687064
N-15.tsv	1.83442055952016	59.9404579484261	1.01133925835121	0.288954073814632	2.28098594632459	1.18208484742349	0	20.4062869401515	2.355413510792	3.85272098419509	0.411540650584475	0	0.00875618405498883	1.00696116632372	0.363381638282037	3.30983757278578	1.74685871897027
N-16.tsv	0.321117284265253	57.4545083847291	0.841021458789948	0.0356796982516948	4.1031652989449	0.366991182017432	0	20.4393699984709	5.59661552576584	7.12064835108823	0.36189408226719	0	0.00509709975024211	0.00509709975024211	0.1936897905092	1.46286762831949	1.69223711708038
N-24.tsv	2.60207190737355	39.8598415600244	3.54661791590494	1.8951858622791	6.36197440585009	2.205971968312	0.0060938452163315	19.9878123095673	8.55575868372943	4.49116392443632	0.341255332114564	0.146252285191956	0.012187690432663	0.103595368677636	2.88848263254113	4.92382693479586	2.07190737355271
N-46.tsv	2.16845044206608	46.5704979060028	0.595625872498837	0.893438808748255	2.51279664960447	2.65239646347138	0	12.6105165193113	1.8054909260121	7.30572359236854	0.120986505351326	1.1540251279665	0.00930665425779432	0.0186133085155886	0.428106095858539	6.92415076779898	14.2298743601675
N-6.tsv	2.58143495848414	44.9542261017671	1.07515435384288	0.0532254630615286	4.11432829465616	2.85820736640409	0.00532254630615286	18.1498829039813	2.02789014264424	8.55333191398765	0.079838194592293	0	0	0.0425803704492229	0.14903129657228	8.10091547796466	7.25463061528635
N-23.tsv	7.15283436154115	45.3730648352927	0.710045396345012	0.89628681177977	4.28937259923175	1.11744849260854	0	12.7808171342102	2.11267605633803	4.35339308578745	7.0480735653591	0.157141194273076	0.0174601326970085	0.401583052031195	2.93912233732976	3.94016994529158	6.7105109998836
N-41.tsv	8.49448268327324	51.5787173604283	0.333224079536764	0.289522560908992	2.64394187698022	0.589970501474926	0	13.0285152409046	7.44564623620671	8.2923631596198	0.0327761389708292	0.00546268982847154	0.0109253796569431	0.07101496777013	0.147492625368732	3.69277832404676	3.34316617502458
N-34.tsv	0.793445003370845	94.6688793237567	0	0	0.051859150547114	0.897163304465073	0	0.0207436602188456	0.357828138775087	1.50391536586631	0.124461961313074	0	0.0155577451641342	0.051859150547114	0	1.42094072499092	0.0933464709848053
N-1.tsv	1.19981541301338	64.1362867251192	0.369173973234887	0.115366866635902	2.41501307491155	3.59175511459775	0.0384556222119674	14.7054299338563	2.57652668820181	5.70681433625596	0.015382248884787	0.0307644977695739	0.0692201199815413	0.130749115520689	0.0692201199815413	3.27641901245962	1.55360713736348
