0	1	2	3	4	5	6
N-1.tsv	0.177277632187452	80.2373978726684	1.14074302451056	15.0454755665177	1.71111453676584	1.68799136735008	0
N-10.tsv	10.7360168499883	2.90779311958811	0.666978703487011	18.4764802246665	57.2314533114908	9.98127779077931	0
N-11.tsv	74.3220074812968	1.37936408977556	1.16895261845387	10.2556109725686	12.4610349127182	0.413029925187032	0
N-12.tsv	98.4159241311031	0.401229743108749	0.166744828304935	0.343911208378928	0.635714657912563	0.0364754311917044	0
N-13.tsv	6.69406519921984	1.2190025076623	0.480635274449707	36.3471719141822	54.3953747561995	0.863750348286431	0
N-14.tsv	37.94208893485	5.51189245087901	0.517063081695967	20.5015511892451	26.8148914167528	8.71251292657704	0
N-15.tsv	0.0483028147367497	89.0967373644228	0.513766302199974	7.33763667500988	2.48100821147851	0.52254863215211	0
N-16.tsv	0	86.4500994441328	0.0101993982355041	12.1321842011321	1.40751695649957	0	0
N-17.tsv	80.5193596425912	5.06329113924051	1.6427773641102	3.15524944154877	7.03183172002978	2.58749069247952	0
N-18.tsv	36.4702484113229	18.4055459272097	0.826112073945696	28.6192952050838	15.0953206239168	0.583477758521086	0
N-19.tsv	44.4327985164879	8.86075949367089	0.774006288801096	22.0672417963396	21.4544868177054	2.41070708699508	0
N-2.tsv	18.8518730340292	0.657706605661996	2.14469545324564	61.3597369173577	16.7071775807835	0.278810408921933	0
N-20.tsv	3.27663967831332	0.575993044612292	0.38580666195729	7.27598761071564	84.4155844155844	4.06998858881704	0
N-21.tsv	71.2562130931645	0.072220570117677	0.280385742809805	19.1766855006585	6.933174731297	2.2813203619525	0
N-22.tsv	4.21269425201273	85.6768395431567	1.54465455907133	6.93690320164763	1.42295450290208	0.205953941209511	0
N-23.tsv	1.91328769527822	67.1815575449067	0.374466093265461	8.9169738458838	18.4190509624949	3.19466385817097	0
N-24.tsv	0	56.5601423050972	0.791265411273999	23.5723486474882	15.3959393976569	3.68030423848372	0
N-25.tsv	86.4	1.61472392638037	0.0392638036809816	9.92883435582822	1.1239263803681	0.893251533742331	0
N-26.tsv	0	95.2827161286182	0.198960272126308	0.0898530261215583	4.35787176689558	0.0577626596495732	0.012836146588794
N-27.tsv	53.9036127271421	12.5044889750772	1.6878546290311	12.3895712131006	18.9686130862601	0.545859369388781	0
N-28.tsv	66.6406199127434	0.970241583642639	0.0260467539232923	21.2932213322915	9.32473790453865	1.74513251286058	0
N-29.tsv	31.2340925406252	0.0913659205116492	0.287150035893754	62.5530248645827	2.5974025974026	3.23696404098414	0
N-3.tsv	53.9947974730583	0.012386968908708	1.77133655394525	28.2794500185805	15.7871918741484	0.154837111358851	0
N-30.tsv	17.329737019555	6.47949488138295	0.337154416722859	39.7535707717771	34.3591001042114	1.74094280635076	0
N-31.tsv	59.9878751136708	1.73790037385066	0.186925330908356	21.2791755077296	16.6060422350207	0.202081438819844	0
N-32.tsv	59.9103848181339	3.20681778246354	0.289931470743279	21.0947109471095	9.05816201019153	6.43999297135829	0
N-33.tsv	0.185270958777212	75.2508877566775	2.40080284082137	10.0432298903813	12.0194534506716	0.10035510267099	0
N-34.tsv	0	99.6664234337538	0.307515897008235	0	0.026060669237986	0	0
N-35.tsv	3.08860433691526	92.0854513866547	0.720674345280227	1.4542178752976	1.01666559423461	1.63438646161766	0
N-36.tsv	30.8219550671816	15.5252135124844	0.39166621334929	24.1908284828374	16.955883152913	12.1144535712343	0
N-37.tsv	43.4192415397029	3.88248137073425	0.617020266742608	48.2319996202952	3.84925720252504	0	0
N-38.tsv	72.3486460823156	1.29661766150421	0.245571526800039	18.846796110147	3.26773844995252	3.99463016928064	0
N-39.tsv	50.4834786735481	2.08222103577149	0.237290146526665	31.1917897609302	8.74414189950762	7.26107848371596	0
N-4.tsv	36.3837673903625	5.82968276127666	1.05425311702691	49.7424541472103	6.94651711356087	0.0433254705627497	0
N-40.tsv	29.9538745387454	3.12730627306273	4.44649446494465	40.950184501845	21.3191881918819	0.202952029520295	0
N-41.tsv	1.64498852333588	79.6043283418953	0.0765110941086457	14.8431522570773	3.65067220461253	0.180347578970379	0
N-42.tsv	5.08069907363194	3.14201126921975	4.19253175436921	4.33578454779868	77.3183077070003	5.93066564798014	0
N-43.tsv	47.033702677747	1.77169898430286	0.39819944598338	16.0664819944598	8.93351800554017	25.7963988919668	0
N-44.tsv	53.7812419479516	0.199690801339861	3.21437773769647	22.0497294511724	12.0007729966503	8.75418706518938	0
N-45.tsv	47.5475870784298	2.1206855698602	1.11760524445147	1.66653502882869	46.9947081589132	0.541031514098412	0.0118474054182134
N-46.tsv	0	72.6172607879925	1.73545966228893	9.39024390243902	11.6228893058161	4.63414634146341	0
N-47.tsv	35.6401237445438	0.0593295757935331	3.013094884943	59.4185701572234	1.0594567105988	0.809424926897487	0
N-48.tsv	42.1450058321567	2.49861869973602	0	40.260298360857	14.8320952790227	0.263981828227638	0
N-49.tsv	0.119997176537023	1.67996047151832	56.306910425637	29.1593138984965	12.7055833980377	0.0282346297734171	0
N-5.tsv	80.6263619317894	8.62007804185882	1.7534079967567	7.59641210155577	1.19596614807683	0.207773779962499	0
N-50.tsv	32.0404359047892	1.92859191281904	10.3885861772297	30.6638944651563	17.8878692285632	7.0906223114425	0
N-51.tsv	63.5050056765404	0.149654247084322	1.13530808132934	18.6706574465889	3.8032820724533	12.7360924760037	0
N-52.tsv	48.6759382739569	5.73442560487712	2.79418301898774	18.0224804724709	8.45875404839017	16.3142185813171	0
N-53.tsv	52.2720025510204	23.6447704081633	0.0239158163265306	20.2407525510204	3.56345663265306	0.255102040816327	0
N-54.tsv	81.9042437431991	10.9793253536453	0.533188248095756	1.78998911860718	2.9379760609358	1.85527747551687	0
N-55.tsv	5.65720435893986	2.85887259518364	0.760123772366474	19.7363110453384	67.2944975110992	3.69299071707251	0
N-56.tsv	0.685662670389226	0	0.0903268188536706	0.431105271801609	95.7382164559041	3.0546887830514	0
N-6.tsv	0.0106752068321324	64.5369629036563	1.8468107819589	23.1278356018148	4.04590338937817	6.43181211635975	0
N-7.tsv	1.29966764224416	70.6483456520661	0.45637184384146	24.1529837789573	2.19256907584702	1.250062007044	0
N-8.tsv	0.00670690811535882	26.5526492287056	1.46210596914822	32.0657276995305	14.0710932260228	25.8417169684775	0
N-9.tsv	0.0168899898660061	87.0960477423714	1.86915887850467	5.61873662875802	2.4940885035469	2.90507825695305	0
mADT-1.tsv	5.56391961772599	0.17019048242456	1.32224913268312	6.61124566341559	55.6326503894744	0.327289389278	30.3724553249984
mADT-10.tsv	0.0267147532224671	0.380685233420156	0.0400721298337007	2.25071795899285	95.1112001602885	2.1906097642423	0
mADT-11.tsv	0.190683737401253	0	0.531190411332062	14.655407245982	84.404794333969	0.217924271315718	0
mADT-12.tsv	2.45753114382786	0	0.668176670441676	18.9580973952435	77.8822197055493	0.0339750849377123	0
mADT-13.tsv	14.4722150648458	0	0.00858885167053165	26.9260499871167	47.6681267714507	10.9250193249163	0
mADT-14.tsv	6.27156789197299	36.6541635408852	0.180045011252813	10.450112528132	37.2543135783946	9.18979744936234	0
mADT-15.tsv	86.5757997218359	0	0.328233657858136	5.61891515994437	3.03755215577191	4.43949930458971	0
mADT-16.tsv	2.41848947585638	0	4.70491126702435	2.83945522080066	83.5163021048287	6.52084193148989	0
mADT-17.tsv	0.0578904712284358	1.50515225193933	0.0636795183512794	9.48245918721778	83.1075604955424	5.78325807572074	0
mADT-19.tsv	49.6857541899441	0	5.41201117318436	0	29.8882681564246	14.9790502793296	0.0349162011173184
mADT-2.tsv	4.95438817238125	0.00786410821012897	3.13777917584146	5.88235294117647	66.4438502673797	1.55709342560554	18.0166719094055
mADT-20.tsv	6.18429553062783	0	0.463968990426969	8.25160039936571	64.2332765607565	20.866858518823	0
mADT-21.tsv	21.8383899068789	0.162210874136377	0.0540702913787924	1.11745268849504	69.4562931811355	7.37158305797537	0
mADT-22.tsv	0.019122896481387	0	0.65017848036716	0.293217746047935	88.2075471698113	10.8299337072922	0
mADT-23.tsv	2.93165633959123	0.0277443817626931	0.0554887635253861	56.6632756866735	39.0825857763803	1.23924905206696	0
mADT-24.tsv	0.454230017033626	0	1.04725253927197	16.838054381427	71.7494164406031	9.91104662166425	0
mADT-25.tsv	8.20517083714357	0	0.00831324299609278	2.31939479590988	50.9019868650761	38.5651342588744	0
mADT-26.tsv	7.0848611838659	0	3.12118037366859	7.41662301379431	48.5463593504453	33.830976078226	0
mADT-27.tsv	0.0335251718165056	0.0726378722690954	0	7.38671285690339	41.8673520701794	50.6397720288317	0
mADT-28.tsv	0	0	0.118715083798883	0.488826815642458	99.2108938547486	0.167597765363128	0.0139664804469274
mADT-29.tsv	46.9638598422308	0	0.0550357732526142	4.78199718706048	46.217819360362	1.98128783709411	0
mADT-3.tsv	1.18663664577375	8.68983143674314	2.53757682711617	13.2599038520051	53.9463275117142	4.16844155053855	16.211282176109
mADT-31.tsv	0.0065402223675605	15.0752125572269	0.0327011118378025	2.93655984303466	78.7115761935906	3.23741007194245	0
mADT-32.tsv	2.01230546507419	0.0361925443358668	1.3318856315599	24.1838581252262	70.5103148751357	1.91820484980094	0.00723850886717336
mADT-33.tsv	24.2844658072974	0	41.7850120166048	0.600830238147258	32.6305440244702	0.699147913480446	0
mADT-34.tsv	0.0600240096038415	0	83.8235294117647	2.47098839535814	9.02360944377751	0	4.6218487394958
mADT-35.tsv	10.8120692866456	1.02439932948408	19.286645557832	1.50866083069473	40.026075619296	1.36897001303781	25.9731793630099
mADT-36.tsv	17.2674102285092	0	0.14961915125136	34.3647986942329	30.3522850924918	17.8658868335147	0
mADT-37.tsv	0.0675178001473116	0	0.110483672968328	4.45617480972256	91.9162779278173	3.44954578934446	0
mADT-38.tsv	0.457025920873124	20.3069577080491	0	1.88949522510232	66.6507503410641	10.6957708049113	0
mADT-39.tsv	3.69420989143546	0	0.256332931242461	0.211097708082027	95.5518697225573	0.28648974668275	0
mADT-4.tsv	2.36103364937721	26.9287971741959	1.08756274400446	10.4619817810002	39.249860568879	0.297453058189254	19.613311024354
mADT-40.tsv	1.52133959567082	0	4.32918113130488	1.74596691852154	83.7604655911783	8.64304676332448	0
mADT-41.tsv	0.105757931844888	0	0.464159811985899	8.66039952996475	78.9835487661575	11.786133960047	0
mADT-42.tsv	0	12.2468447314353	1.3721749339595	13.8244790137951	38.3768711476372	34.0842383328441	0.095391840328735
mADT-43.tsv	0	1.21519471820878	91.0726246292221	5.54970816189838	1.4161324275189	0.746340063151852	0
mADT-44.tsv	0.231938412949072	0	1.60876431109356	0.123371496249507	97.6362021318594	0.399723647848401	0
mADT-45.tsv	0.166339029184939	0.0151217299259035	2.7899591713292	2.22289429910782	93.5278995917133	1.27778617873885	0
mADT-46.tsv	5.14161220043573	2.01058201058201	0.186741363211951	0.329909741674448	73.3893557422969	18.9417989417989	0
mADT-47.tsv	0	0	0.500271886895052	0.10331702011963	80.2338227297444	19.1625883632409	0
mADT-48.tsv	0.156938943277782	0	2.54091622449742	0.00747328301322771	2.72027501681489	94.5743965323967	0
